Main Author,Nombre total de citations,Volume,Date de publication,Auteurs,Revue,Pages,Numéro
Zouhair Benkhaldoun,853,1,47,2018/1/19,The Astrophysical Journal Letters,"Tabetha S Boyajian, Roi Alonso, Alex Ammerman, David Armstrong, A Asensio Ramos, K Barkaoui, Thomas G Beatty, Zouhair Benkhaldoun, Paul Benni, Rory O Bentley, Andrei Berdyugin, Svetlana Berdyugina, Serge Bergeron, Allyson Bieryla, Michaela G Blain, Alicia Capetillo Blanco, Eva HL Bodman, Anne Boucher, Mark Bradley, Stephen M Brincat, Thomas G Brink, John Briol, David JA Brown, Jan Budaj, Artem Burdanov, Bryson Cale, Miguel Aznar Carbo, R Castillo Garcia, Wendy J Clark, Geoffrey C Clayton, James L Clem, Phillip H Coker, Evan M Cook, Chris M Copperwheat, Jason L Curtis, Roc M Cutri, Borbála Cseh, CH Cynamon, Alex J Daniels, James RA Davenport, Hans J Deeg, Roberto De Lorenzo, Thomas De Jaeger, Jean-Bruno Desrosiers, John Dolan, DJ Dowhos, Franky Dubois, Russell Durkee, Shawn Dvorak, Lynn Easley, Nick Edwards, Tyler G Ellis, Emery Erdelyi, Steve Ertel, Rafael G Farfán, Jay Farihi, Alexei V Filippenko, Emma Foxell, Davide Gandolfi, Faustino Garcia, Frank Giddens, Michaël Gillon, Juan-Luis González-Carballo, Carlos González-Fernández, JI González Hernández, Keith A Graham, Kenton A Greene, Joao Gregorio, Na’ama Hallakoun, Ottó Hanyecz, Gerry R Harp, Gregory W Henry, E Herrero, Caleb F Hildbold, D Hinzel, Gonzalo Holgado, Bernadett Ignácz, Ilya Ilyin, Valentin D Ivanov, Emmanuel Jehin, Helen E Jermak, Steve Johnston, S Kafka, Csilla Kalup, Emmanuel Kardasis, Shai Kaspi, Grant M Kennedy, F Kiefer, CL Kielty, Dennis Kessler, H Kiiskinen, TL Killestein, Ronald A King, V Kollar, H Korhonen, C Kotnik, Réka Könyves-Tóth, Levente Kriskovics, Nathan Krumm, Vadim Krushinsky, E Kundra, Francois-Rene Lachapelle, D LaCourse, P Lake, Kristine Lam, Gavin P Lamb, Dave Lane, Marie Wingyee Lau, Pablo Lewin, Chris Lintott, Carey Lisse, Ludwig Logie, Nicolas Longeard, M Lopez Villanueva, E Whit Ludington, A Mainzer, Lison Malo, Chris Maloney, A Mann, A Mantero, Massimo Marengo, Jon Marchant, MJ Martínez González, Joseph R Masiero, Jon C Mauerhan, James McCormac, Aaron McNeely, Huan YA Meng, Mike Miller, Lawrence A Molnar, JC Morales, Brett M Morris, Matthew W Muterspaugh, David Nespral, CR Nugent, Katherine M Nugent, A Odasso, Derek O’keeffe, A Oksanen, John M O’meara, András Ordasi, Hugh Osborn, John J Ott, JR Parks, Diego Rodriguez Perez, Vance Petriew, R Pickard, András Pál, P Plavchan, Don Pollacco",L8
Zouhair Benkhaldoun,154,1,47,2017/6/23,The Astronomical Journal,"A Dias-Oliveira, B Sicardy, JL Ortiz, F Braga-Ribas, R Leiva, R Vieira-Martins, G Benedetti-Rossi, JIB Camargo, M Assafin, AR Gomes-Junior, T Baug, T Chandrasekhar, Josselin Desmars, R Duffard, P Santos-Sanz, Z Ergang, S Ganesh, Y Ikari, P Irawati, J Jain, Z Liying, A Richichi, Q Shengbang, R Behrend, Z Benkhaldoun, N Brosch, A Daassou, E Frappa, Avishay Gal-Yam, R Garcia-Lozano, Michaël Gillon, Emmanuel Jehin, Shai Kaspi, A Klotz, J Lecacheux, P Mahasena, Jean Manfroid, Ilan Manulis, A Maury, Vishnu Mohan, N Morales, E Ofek, C Rinner, A Sharma, S Sposetti, P Tanga, A Thirouin, F Vachier, T Widemann, A Asai, Watanabe Hayato, Watanabe Hiroyuki, M Owada, H Yamamura, T Hayamizu, J Bradshaw, S Kerr, H Tomioka, S Andersson, G Dangl, T Haymes, R Naves, G Wortmann",22
Moulay Othman Idrissi Fakhreddine,7,,129,2010/5/1,,"Nizar Becheikh, Saliha Ziam, Othman Idrissi, Yan Castonguay, Réjean Landry",1
Moulay Othman Idrissi Fakhreddine,7,1,124,2012/3,Journal of Technology Management & Innovation,"Moulay Othman Idrissi, Nabil Amara, Réjean Landry",186-210
Moulay Othman Idrissi Fakhreddine,47,,52,2008,Revue systématique des écrits sur le transfert de connaissances en éducation,"R Landry, N Becheikh, N Amara, S Ziam, Othman Idrissi, Y Castonguay",
Moulay Othman Idrissi Fakhreddine,15,1,46,2017/12,,"E Akhnif, J Macq, MO Idrissi Fakhreddine, B Meessen",1-12
Moulay Othman Idrissi Fakhreddine,22,5,13,2019,European Journal of Innovation Management,"Moulay Othman Idrissi Fakhreddine, Yan Castonguay",765-789
Moulay Othman Idrissi Fakhreddine,,,1,2011,,IDRISSI FAKHREDDINE MOULAY OTHMAN,
Moulay Othman Idrissi Fakhreddine,,,,2023/8/3,,"Moulay Othman Idrissi Fakhreddine, Yan Castonguay",
Moulay Othman Idrissi Fakhreddine,,,,2022/9/4,,"Moulay Othman Idrissi Fakhreddine, Khalid Berrada",89-102
Moulay Othman Idrissi Fakhreddine,19,1,,2019/3,International Journal of Strategic Management,"Moulay Othman Idrissi Fakhreddine, Yan Castonguay",21-38
Moulay Othman Idrissi Fakhreddine,,,,2016/6/1,ISPIM Innovation Symposium,"Nabil Amara, Réjean Landry, Moulay Othman Idrissi, Norrin Halilem",1
Moulay Othman Idrissi Fakhreddine,,,,2007,,Idrissi Fakhreddine Moulay Othman,
Moulay Othman Idrissi Fakhreddine,,,,,,"Moulay Othman Idrissi Fakhreddine, Nabil Amaraa, Réjean Landrya",
Zakaria KNIDIRI,2,1,5,2023/3/17,American Journal of Smart Technology and Solutions,"Hind Tamer, Zakaria Knidiri",20-28
Zakaria KNIDIRI,2,4,2,2021/7/25,,"L'houssaine Mounaim, Zakaria Knidiri, Hind Tamer",302-322
Zakaria KNIDIRI,3,4-1,1,2022/6/6,"International Journal of Accounting, Finance, Auditing, Management and Economics","Hind TAMER, Bouchra LEBZAR, Zakaria KNIDIRI",477-490
Zakaria KNIDIRI,2,3,1,2019/7,International Journal of Management Science,"Zakaria KNIDIRI, Mohamed BEN MOUSSA",354-379
Zakaria KNIDIRI,72,4,1,,Social influence,"TAMER Hind, KNIDIRI Zakaria",44
Zakaria KNIDIRI,,,,2023/12/7,Agence Francophone,"Hind TAMER, Zakaria KNIDIRI",
Zakaria KNIDIRI,3,18,,2023/5/16,,"TAMER Hind, KNIDIRI Zakaria",001-001
Zakaria KNIDIRI,2,8,,2021/8/30,Revue Française d'Economie et de Gestion,"MOUNAIM L'HOUSSAINE, ZAKARIA KNIDIRI, HIND TAMER",
Zakaria KNIDIRI,11,Spéciale 2 - 2018,,2018,Revue Internationale d’Economie & de Gestion Stratégique de Processus d’Affaires,"Zakaria KNIDIRI, Mohamed BENMOUSSA",92-103
Zakaria KNIDIRI,,,,2016/5/23,,KNIDRI Zakaria,
Zakaria KNIDIRI,,,,,,"TAMER Hind, KNIDIRI Zakaria",
Abdelkhaleq AFIRI,24,1,70,2011/2/1,Geodinamica Acta,"A Afiri, Frédéric Gueydan, P Pitra, A Essaifi, J Précigout",49-60
Abdelkhaleq AFIRI,34,6,42,2015/6,Tectonics,"Frédéric Gueydan, Pavel Pitra, Abdelkhaleq Afiri, Marc Poujol, Abderrahim Essaifi, Jean‐Louis Paquette",1244-1268
Abdelkhaleq AFIRI,,,4,2011/12/16,,Abdelkhaleq AFIRI,
Abdelkhaleq AFIRI,23,,1,2010/10/25,,"A Afiri, Pavel Pitra, Frédéric Gueydan, Abderrahim Essaifi","p. 6, n° 3"
Abdelkhaleq AFIRI,,,1,2005,,"AM Aghzer, Faouziya Haissen, A Afiri",
Abdelkhaleq AFIRI,13,484,,2023/3/30,Minerals,"Amar Alali and Mohamed Abioui Abdelkhaleq Afiri, Abderrahim Essaifi , Ali Charroud, Mourad Aqnouy, Kamal Abdelrahman",25
Abdelkhaleq AFIRI,,,,2019/4/23,,"Abdelkhaleq Afiri, Ali Charroud, Badre Essafraoui, Abderrahim Essaifi, Pavel Pitra",
Abdelkhaleq AFIRI,,,,2011/12/16,,Abdelkhaleq Afiri,
Abdelkhaleq AFIRI,,,,2009/4/23,,"A Afiri, Pavel Pitra, Frédéric Gueydan, Abderrahim Essaifi",
Abdelkhaleq AFIRI,,,,,,"Z HAJJAR, A WAFIK, A ESSAIFI, A AFIRI, M CONSTANTIN",
Youssef El Azhari,625,,38,2019/5/1,Astronomy & Astrophysics,"E Meza, B Sicardy, M Assafin, José Luis Ortiz, T Bertrand, Emmanuel Lellouch, Josselin Desmars, F Forget, D Bérard, Alain Doressoundiram, J Lecacheux, J Marques Oliveira, F Roques, T Widemann, François Colas, F Vachier, S Renner, R Leiva, F Braga-Ribas, G Benedetti-Rossi, JIB Camargo, A Dias-Oliveira, B Morgado, AR Gomes-Júnior, R Vieira-Martins, R Behrend, A Castro Tirado, R Duffard, Nicolás Morales, Pablo Santos-Sanz, M Jelínek, R Cunniffe, R Querel, M Harnisch, R Jansen, A Pennell, S Todd, Valentin D Ivanov, C Opitom, Michaël Gillon, Emmanuel Jehin, Jean Manfroid, J Pollock, DE Reichart, JB Haislip, KM Ivarsen, AP LaCluyze, A Maury, R Gil-Hutton, V Dhillon, S Littlefair, T Marsh, C Veillet, K-L Bath, W Beisker, H-J Bode, M Kretlow, D Herald, D Gault, S Kerr, H Pavlov, O Faragó, O Klös, E Frappa, M Lavayssière, AA Cole, AB Giles, JG Greenhill, KM Hill, MW Buie, CB Olkin, EF Young, LA Young, LH Wasserman, M Devogèle, RG French, FB Bianco, F Marchis, N Brosch, S Kaspi, D Polishook, I Manulis, M Ait Moulay Larbi, Z Benkhaldoun, A Daassou, Y El Azhari, Youssef Moulane, J Broughton, J Milner, T Dobosz, G Bolt, B Lade, A Gilmore, P Kilmartin, WH Allen, PB Graham, B Loader, G McKay, J Talbot, S Parker, L Abe, Ph Bendjoya, J-P Rivet, D Vernet, L Di Fabrizio, V Lorenzi, Antonio Magazzú, E Molinari, K Gazeas, L Tzouganatos, Albino Carbognani, G Bonnoli, A Marchini, Giuseppe Leto, R Zanmar Sanchez, L Mancini, B Kattentidt, M Dohrmann, K Guhl, W Rothe, K Walzel, G Wortmann, A Eberle, D Hampf, J Ohlert, G Krannich, G Murawsky, B Gährken, D Gloistein, S Alonso, A Román, J-E Communal, F Jabet, S DeVisscher, J Sérot, T Janik, Z Moravec, P Machado, A Selva, C Perelló, J Rovira, M Conti, R Papini, F Salvaggio, A Noschese, V Tsamis, K Tigani, P Barroy, M Irzyk, D Neel",A42
Youssef El Azhari,625,,38,2019/5/1,Astronomy & Astrophysics,"E Meza, B Sicardy, M Assafin, José Luis Ortiz, T Bertrand, Emmanuel Lellouch, Josselin Desmars, F Forget, D Bérard, Alain Doressoundiram, J Lecacheux, J Marques Oliveira, F Roques, T Widemann, François Colas, F Vachier, S Renner, R Leiva, F Braga-Ribas, G Benedetti-Rossi, JIB Camargo, A Dias-Oliveira, B Morgado, AR Gomes-Júnior, R Vieira-Martins, R Behrend, A Castro Tirado, R Duffard, Nicolás Morales, Pablo Santos-Sanz, M Jelínek, R Cunniffe, R Querel, M Harnisch, R Jansen, A Pennell, S Todd, Valentin D Ivanov, C Opitom, Michaël Gillon, Emmanuel Jehin, Jean Manfroid, J Pollock, DE Reichart, JB Haislip, KM Ivarsen, AP LaCluyze, A Maury, R Gil-Hutton, V Dhillon, S Littlefair, T Marsh, C Veillet, K-L Bath, W Beisker, H-J Bode, M Kretlow, D Herald, D Gault, S Kerr, H Pavlov, O Faragó, O Klös, E Frappa, M Lavayssière, AA Cole, AB Giles, JG Greenhill, KM Hill, MW Buie, CB Olkin, EF Young, LA Young, LH Wasserman, M Devogèle, RG French, FB Bianco, F Marchis, N Brosch, S Kaspi, D Polishook, I Manulis, M Ait Moulay Larbi, Z Benkhaldoun, A Daassou, Y El Azhari, Youssef Moulane, J Broughton, J Milner, T Dobosz, G Bolt, B Lade, A Gilmore, P Kilmartin, WH Allen, PB Graham, B Loader, G McKay, J Talbot, S Parker, L Abe, Ph Bendjoya, J-P Rivet, D Vernet, L Di Fabrizio, V Lorenzi, Antonio Magazzú, E Molinari, K Gazeas, L Tzouganatos, Albino Carbognani, G Bonnoli, A Marchini, Giuseppe Leto, R Zanmar Sanchez, L Mancini, B Kattentidt, M Dohrmann, K Guhl, W Rothe, K Walzel, G Wortmann, A Eberle, D Hampf, J Ohlert, G Krannich, G Murawsky, B Gährken, D Gloistein, S Alonso, A Román, J-E Communal, F Jabet, S DeVisscher, J Sérot, T Janik, Z Moravec, P Machado, A Selva, C Perelló, J Rovira, M Conti, R Papini, F Salvaggio, A Noschese, V Tsamis, K Tigani, P Barroy, M Irzyk, D Neel",A42
Youssef El Azhari,441,2,28,2005/10/1,Astronomy & Astrophysics,"Z Benkhaldoun, A Abahamid, Y El Azhari, M Lazrek",839-843
Youssef El Azhari,366,1-2,25,2000/5/1,Thin Solid Films,"MY El Azhari, M Azizan, A Bennouna, A Outzourhit, EL Ameziane, M Brunel",82-87
Youssef El Azhari,45,4,22,1997/2/28,Solar energy materials and solar cells,"MY El Azhari, M Azizan, A Bennouna, A Outzourhit, EL Ameziane, M Brunel",341-352
Youssef El Azhari,295,1-2,21,1997/2/28,Thin Solid Films,"MY El Azhari, M Azizan, A Bennouna, A Outzourhit, EL Ameziane, M Brunel",131-136
Youssef El Azhari,477,1,16,2008/1/1,Astronomy & Astrophysics,"A Carlotti, G Ricort, C Aime, Y El Azhari, R Soummer",329-335
Youssef El Azhari,406,4,8,2010/8/21,Monthly Notices of the Royal Astronomical Society,"A Habib, O Azagrouze, Y El Azhari, Z Benkhaldoun, M Lazrek",2743-2748
Youssef El Azhari,12,,7,2003/7,Journal of Physical and Chemica News,"M Benhayoun, A Malaoui, M Ankrim, MY El Azhari, A Outzourhit, EL Amziane, K Kotb",50-56
Youssef El Azhari,482,1,6,2008/4/1,Astronomy & Astrophysics,"A Habib, M Sabil, Z Benkhaldoun, Y El Azhari",365-370
Youssef El Azhari,1,C200,6,2005/10,Proceedings of the International Astronomical Union,"Y El Azhari, O Azagrouze, F Martin, R Soummer, C Aime",445-450
Youssef El Azhari,434,1,3,2013/9/1,Monthly Notices of the Royal Astronomical Society,"A Habib, Z Benkhaldoun, Y El Azhari",742-747
Youssef El Azhari,,,1,2023/6/15,Monthly Notices of the Royal Astronomical Society,"J Chafi, Y El Azhari, O Azagrouze, A Jabiri, Z Benkhaldoun, A Habib, Y Errazzouki",stad1743
Youssef El Azhari,11447,,1,2020/12/13,,"Mourad Ghachoui, Zouhair Benkhaldoun, Abderahmane Soubkiou, Khalid Barkaoui, Ahmed Daassou, Hong-Suh Yim, Myung-Jin Kim, Dong-Goo Roh, Youssef El Azhari, Abdelhadi Jabiri",2130-2135
Youssef El Azhari,28,,1,2010/12,Experimental Astronomy,"Youssef Hach, Abdelouahed Abahamid, Mohammed Sabil, Abdelmajid Benhida, Zouhair Benkhaldoun, Abdelfatah Habib, Youssef Elazhari",87-99
Youssef El Azhari,5489,,1,2004/9/28,,"Zouhair Benkhaldoun, Abdelouahed Abahamid, Youssef El Azhari, El Arbi Siher",113-121
Youssef El Azhari,,,1,2003/10/14,,Youssef El Azhari,
Youssef El Azhari,527,3,,2024/1,Monthly Notices of the Royal Astronomical Society,"J Chafi, Y El Azhari, O Azagrouze, A Jabiri, A Boskri, Z Benkhaldoun, A Habib",7036-7046
Youssef El Azhari,,,,2022/12/16,,"Youssef Errazzouki, Abdelfattah Habib, Abdelhadi Jabiri, Mohamed Sabil, Zouhair Benkhaldoun, Youssef El Azhari, Jamal Chafi",
Youssef El Azhari,89,7,,2021/7/1,American Journal of Physics,"Youssef El Azhari, Saïd Tagmouti",721-729
Essaid El Bachari,3,3,104,2011/6,,"Essaid El Bachari, Mohammed El Adnani El Hassan Abelwahed",
Essaid El Bachari,42,2,62,2017/2/1,Arabian Journal for Science and Engineering,"Outmane Bourkoukou, Essaid El Bachari, Mohamed El Adnani",607-617
Essaid El Bachari,5,3,58,2010,Ubiquitous Computing and Communication Journal,"Essaid El Bachari, E Abdelwahed, M El Adnani",1-8
Essaid El Bachari,2,2,52,2016/12,International journal of learning and teaching,"Outmane Bourkoukou, Essaid El Bachari, Mohamed El Adnani",99-103
Essaid El Bachari,2,4,37,2018/8/7,JOIV: International Journal on Informatics Visualization,"Outmane Bourkoukou, Essaid El Bachari",271-278
Essaid El Bachari,1,3,31,2012/1/1,International Journal of Web Science 3,"Essaid El Bachari, El Hassan Abelwahed, Mohammed El Adnani",257-274
Essaid El Bachari,11,11,30,2016/11/1,Journal of Engineering Science and Technology,"Outmane Bourkoukou, Essaid El Bachari",1565-1581
Essaid El Bachari,,,15,2019/7/8,,"Abdelhakim El Boustani, Mohamed Aatila, Essaid El Bachari, Ahmed El Oirrak",308-320
Essaid El Bachari,,,10,2010,,"Essaid El Bachari, E Abelwahed, M El Adnani",
Essaid El Bachari,,,8,2020,,"Outmane Bourkoukou, Essaid El Bachari, Abdelhakim El Boustani",107-117
Essaid El Bachari,17,10,7,2022/5/15,International Journal of Emerging Technologies in Learning,"Outmane Bourkoukou, Essaid El Bachari",
Essaid El Bachari,11,,6,2018/12,Arabian Journal of Geosciences,"Laila Salama, El Mostafa Mouguina, Essaid El Bachari, Larbi Rddad, Mohamed Outhounjite, Mohamed Essaoudi, Lhou Maacha, Mohamed Zouhair",1-19
Essaid El Bachari,,,5,2019,,"Abdelhakim El Boustani, Essaid El Bachari",122-134
Essaid El Bachari,3,3,5,2011/6,"E-Learning personalization based on Dynamic learners' preference, International Journal of Computer Science & Information Technology (IJCSIT)","Essaid El Bachari, E Abdelwahed",200-216
Essaid El Bachari,11,1,2,2020,International Journal of Advanced Computer Science and Applications,"Khalid Aznag, Toufik Datsi, Ahmed El Oirrak, Essaid El Bachari",
Essaid El Bachari,3,2,2,2019/3/8,JOIV: International Journal on Informatics Visualization,"Khalid Aznag, Ahmed El Oirrak, Essaid El Bachari",123-126
Essaid El Bachari,,,1,2022/10/19,,"Ismail Chetoui, Essaid El Bachari, Mohamed El Adnani",510-514
Essaid El Bachari,,,1,2022/9/4,,"Essaid El Bachari, Outmane Bourkoukou, El Hassan Abdelwahed, Mohamed El Adnani",103-114
Essaid El Bachari,7,,1,2020/12,Journal of Big Data,"Khalid Aznag, Toufik Datsi, Ahmed El Oirrak, Essaid El Bachari",1-14
Essaid El Bachari,12,5,1,2017/5/1,Journal of Engineering Science and Technology,"Khalid Aznag, Nouhoun Kane, Ahmed El Oirrak, Essaid El Bachari",1354-1365
El Hassan ABDELWAHED,3,No 3,98,2011/6,International Journal of Computer Science & Information Technology (IJCSIT),El Hassan Abelwahed and Mohammed El Adnani Essaid El Bachari,2001-2016
El Hassan ABDELWAHED,17,Issue 1,67,2020/1,(Open Access) Computer Science and Information Systems Journal,"Rachid Lamrani, El Hassan Abdelwahed",339-356
El Hassan ABDELWAHED,5,3,58,2010,Ubiquitous Computing and Communication Journal,"Essaid El Bachari, E Abdelwahed, M El Adnani",1-8
El Hassan ABDELWAHED,1,3,31,2012/1/1,International Journal of Web Science 3,"Essaid El Bachari, El Hassan Abelwahed, Mohammed El Adnani",257-274
El Hassan ABDELWAHED,,,26,2018/10/24,,"Rachid Lamrani, El Hassan Abdelwahed, Souad Chraibi, Sara Qassimi, Meriem Hafidi",79-90
El Hassan ABDELWAHED,,,25,2001,Proceedings of the Ninth ACM International Symposium on Advances in Geographic Information Systems,"El Hassan Abdelwahed Mohamed El Adnani, Kokou Yétongnon, Djamal Benslimane",70-75
El Hassan ABDELWAHED,101,10,18,2019/10/1,Computing,"Sara Qassimi, El Hassan Abdelwahed",1489-1511
El Hassan ABDELWAHED,,,15,2019/12,,"hamid Ouanan, el hassan Abdelwahed",
El Hassan ABDELWAHED,,,15,2017,,"Rachid Lamrani, El Hassan Abdelwahed, Souad Chraibi, Sara Qassimi, Meriem Hafidi, Abdelaziz El Amrani",77-85
El Hassan ABDELWAHED,,,11,2021/7/23,,"Sara Qassimi, El Hassan Abdelwahed",313-325
El Hassan ABDELWAHED,1,3,11,2012/1/1,International Journal of Web Science 3,"Meriem Benhaddi, Karim Baïna, El Hassan Abdelwahed",204-223
El Hassan ABDELWAHED,,,10,2015/11,,"Rachid Lamrani, El Hassan Abdelwahed",1-8
El Hassan ABDELWAHED,,,10,2010,International Conference on models of information and communication systems,"Essaid El Bachari, E Abelwahed, M El Adnani",
El Hassan ABDELWAHED,,,9,2016/11/28,,"Sara Qassimi, El Hassan Abdelwahed, Meriem Hafidi, Rachid Lamrani",1-6
El Hassan ABDELWAHED,33,1,6,2021/1/10,Concurrency and Computation: Practice and Experience,"Meriem Hafidi, El Hassan Abdelwahed, Sara Qassimi",e5624
El Hassan ABDELWAHED,914,,6,2019/2/5,Advanced Intelligent Systems for Sustainable Development (AI2SD’2018): Vol 4: Advanced Intelligent Systems Applied to Health,"Rachid Lamrani, El Hassan Abdelwahed, Sara Qassimi, Meriem Hafidi",232
El Hassan ABDELWAHED,8,1,5,2021/5/13,Journal of Big Data,"Sara Qassimi, El Hassan Abdelwahed, Meriem Hafidi, Aimad Qazdar",1-17
El Hassan ABDELWAHED,,,5,2017,,"Sara Qassimi, El Hassan Abdelwahed, Meriem Hafidi, Rachid Lamrani",357-371
El Hassan ABDELWAHED,3,3,5,2011/6,"E-Learning personalization based on Dynamic learners' preference, International Journal of Computer Science & Information Technology (IJCSIT)","Essaid El Bachari, E Abdelwahed",200-216
El Hassan ABDELWAHED,,,4,2022/9/22,,"Ahmed Bendaouia, El Hassan Abdelwahed, Sara Qassimi, Abdelmalek Boussetta, Abderrahmane Benhayoun, Intissar Benzakour, Oumkeltoum Amar, Yahia Zennayi, François Bourzeix, Karim Baïna, Salah Baïna, Abdessamad Khalil, Mouhamed Cherkaoui, Oussama Hasidi",325-338
Brahim Bouali,3,1,2015,"Économie, Gestion et Société","Badia Oulhadj, Brahim Bouali"
Brahim Bouali,,,2016/7/4,,BOUALI BRAHIM
Soulaimani Abderrahmane,492,1-4,292,2010/9/20,,"A Michard, A Soulaimani, Ch Hœpffner, H Ouanaimi, L Baidder, EC Rjimati, O Saddiqi",1-24
Soulaimani Abderrahmane,,,240,2008/9/26,,"Dominique Gasquet, Nasser Ennih, J-P Liégeois, A Soulaimani, André Michard",33-64
Soulaimani Abderrahmane,43,1-3,231,2005/10/1,Journal of African Earth Sciences,"Christian Hoepffner, Abderahmane Soulaimani, Alain Piqué",144-165
Soulaimani Abderrahmane,,,225,2008/9/26,,"ACALA Michard, Ch Hœpffner, A Soulaimani, L Baidder",65-132
Soulaimani Abderrahmane,338,1-2,193,2006/1/1,Comptes Rendus Geoscience,"Martin Burkhard, Séverine Caritg, Urs Helg, Charles Robert-Charrue, Abderrahmane Soulaimani",11-24
Soulaimani Abderrahmane,236,,125,2013/10/1,Precambrian Research,"Nasrrddine Youbi, Djiky Kouyaté, Ulf Söderlund, Richard E Ernst, Abderrahmane Soulaimani, Ahmid Hafid, Moha Ikenne, Abdelhakim El Bahat, Hervé Bertrand, Khalid Rkha Chaham, Mohamed Ben Abbou, Abdelaziz Mortaji, Mustapha El Ghorfi, Mohamed Zouhair",106-123
Soulaimani Abderrahmane,174,1,124,2003,Bull. Soc. géol. France,"Abderrahmane Soulaimani, Mohamed Bouabdelli, Alain Piqué",83-92
Soulaimani Abderrahmane,98,,110,2014/10/1,Journal of African Earth Sciences,"Kevin Hefferan, Abderrahmane Soulaimani, Scott D Samson, Hassan Admou, Jeremy Inglis, Ali Saquaque, Chaib Latifa, Neil Heywood",34-46
Soulaimani Abderrahmane,174,,93,2013/8/1,Lithos,"Djiky Kouyaté, Ulf Söderlund, Nasrrddine Youbi, Richard Ernst, Ahmid Hafid, Moha Ikenne, Abderrahmane Soulaimani, Hervé Bertrand, Khalid R'kha Chaham",71-84
Soulaimani Abderrahmane,99,,91,2014/11/1,Journal of African Earth Sciences,"Olivier Blein, Thierry Baudin, Philippe Chevremont, Abderrahmane Soulaimani, Hassan Admou, P Gasquet, Alain Cocherie, Emmanuel Egal, Nasrrddine Youbi, Philippe Razin, Mohamed Bouabdelli, Philippe Gombert",287-306
Soulaimani Abderrahmane,98,,86,2014/10/1,Journal of African Earth Sciences,"A Soulaimani, A Michard, H Ouanaimi, L Baidder, Y Raddi, O Saddiqi, EC Rjimati",94-112
Soulaimani Abderrahmane,174,,83,2013/8/1,Lithos,"Abdelhakim El Bahat, Moha Ikenne, Ulf Söderlund, Brian Cousens, Nasrrddine Youbi, Richard Ernst, Abderrahmane Soulaimani, Ahmid Hafid",85-98
Soulaimani Abderrahmane,174,,76,2013/8/1,Lithos,"Ulf Söderlund, Mauricio Ibanez-Mejia, Abdelhakim El Bahat, Richard E Ernst, Moha Ikenne, Abderrahmane Soulaimani, Nasrrddine Youbi, Brian Cousens, Ahmid Hafid",101-108
Soulaimani Abderrahmane,297,1,76,2008,"Geological Society, London, Special Publications","Abderrahmane Soulaimani, Martin Burkhard",433-452
Soulaimani Abderrahmane,350,6,65,2018/9/1,,"Abderrahmane Soulaimani, Hassan Ouanaimi, Omar Saddiqi, Lahssen Baidder, Andre Michard",279-288
Soulaimani Abderrahmane,328,6,65,1999/3/30,Comptes Rendus de l'Académie des Sciences-Series IIA-Earth and Planetary Science,"Alain Piqué, Mohamed Bouabdelli, Abderrahmane Soulaïmani, Nassereddine Youbi, Mourad Iliani",409-414
Soulaimani Abderrahmane,24,3,60,1997/4/1,Journal of African Earth Sciences,"A Soulaimani, Cl Le Corre, R Farazdaq",271-284
Soulaimani Abderrahmane,98,,53,2014/10/1,Journal of African Earth Sciences,"Olivier Blein, Thierry Baudin, A Soulaimani, Alain Cocherie, Philippe Chèvremont, H Admou, H Ouanaimi, A Hafid, Philippe Razin, M Bouabdelli, J Roger",47-71
Soulaimani Abderrahmane,7,,53,2014/6,Arabian Journal of Geosciences,"M’hamed El Janati, Abderrahmane Soulaimani, Hassan Admou, Nasrrddine Youbi, Ahmid Hafid, Kevin Patrick Hefferan",2407-2422
Soulaimani Abderrahmane,338,3,53,2006/2/1,Comptes Rendus Geoscience,"Abderrahmane Soulaimani, Mohammed Jaffal, Lhou Maacha, Azzouz Kchikach, Abdessamad Najine, Abdellatif Saidi",153-160
Bertrand Lefebvre,465,7295,330,2010/5/13,Nature,"Peter Van Roy, Patrick J Orr, Joseph P Botting, Lucy A Muir, Jakob Vinther, Bertrand Lefebvre, Khadija el Hariri, Derek EG Briggs",215-218
Bertrand Lefebvre,26,4,156,2000,Paleobiology,"Bruno David, Bertrand Lefebvre, Rich Mooi, Ronald Parsley",529-555
Bertrand Lefebvre,38,1,95,2013,"Geological Society, London, Memoirs","Samuel Zamora, Bertrand Lefebvre, J Javier Alvaro, Sébastien Clausen, Olaf Elicki, Oldrich Fatka, Peter Jell, Artem Kouchinsky, Jih-Pai Lin, Elise Nardin, Ronald Parsley, Sergei Rozhnov, James Sprinkle, Colin D Sumrall, Daniel Vizcaïno, Andrew B Smith",157-171
Bertrand Lefebvre,34,,92,2016/6/1,Gondwana Research,"Emmanuel LO Martin, Bernard Pittet, Juan-Carlos Gutiérrez-Marco, Jean Vannier, Khadija El Hariri, Rudy Lerosey-Aubril, Moussa Masrour, Hendrik Nowak, Thomas Servais, Thijs RA Vandenbroucke, Peter Van Roy, Romain Vaucher, Bertrand Lefebvre",274-283
Bertrand Lefebvre,245,1-2,90,2007/3/7,"Palaeogeography, Palaeoclimatology, Palaeoecology",Bertrand Lefebvre,156-199
Bertrand Lefebvre,195,1-2,87,2003/6/5,"Palaeogeography, Palaeoclimatology, Palaeoecology","Bertrand Lefebvre, Oldrich Fatka",73-97
